(0.38889, 0.5, 0.38889),
(0.61111, 0.5, 0.38889),
(0.61111, 0.5, 0.61111),
(0.38889, 0.5, 0.61111),
(0.38889, 0.5, 0.5),
(0.61111, 0.5, 0.5),
(0.5, 0.5, 0.05556),
(0.5, 0.5, 0.94444),
(0.5, 0.5, 0.16667),
(0.5, 0.5, 0.83333),
(0.5, 0.5, 0.27778),
(0.5, 0.5, 0.72222),
(0.5, 0.5, 0.38889),
(0.5, 0.5, 0.61111),
(0.5, 0.5, 0.5),
(0.94444, 0.18393, 0.05556),
(0.05556, 0.81607, 0.05556),
(0.05556, 0.18393, 0.94444),
(0.94444, 0.81607, 0.94444),
(0.05556, 0.81607, 0.94444),
(0.94444, 0.18393, 0.94444),
(0.94444, 0.81607, 0.05556),
(0.05556, 0.18393, 0.05556),
(0.94444, 0.18393, 0.16667),
(0.05556, 0.81607, 0.16667),
(0.05556, 0.18393, 0.83333),
(0.94444, 0.81607, 0.83333),
(0.05556, 0.81607, 0.83333),
(0.94444, 0.18393, 0.83333),
(0.94444, 0.81607, 0.16667),
(0.05556, 0.18393, 0.16667),
(0.94444, 0.18393, 0.27778),
(0.05556, 0.81607, 0.27778),
(0.05556, 0.18393, 0.72222),
(0.94444, 0.81607, 0.72222),
(0.05556, 0.81607, 0.72222),
(0.94444, 0.18393, 0.72222),
(0.94444, 0.81607, 0.27778),
(0.05556, 0.18393, 0.27778),
(0.94444, 0.18393, 0.38889),
(0.05556, 0.81607, 0.38889),
(0.05556, 0.18393, 0.61111),
(0.94444, 0.81607, 0.61111),
(0.05556, 0.81607, 0.61111),
(0.94444, 0.18393, 0.61111),
(0.94444, 0.81607, 0.38889),
(0.05556, 0.18393, 0.38889),
(0.94444, 0.18393, 0.5),
(0.05556, 0.81607, 0.5),
(0.05556, 0.18393, 0.5),
(0.94444, 0.81607, 0.5),
(0.16667, 0.18393, 0.05556),
(0.83333, 0.81607, 0.05556),
(0.83333, 0.18393, 0.94444),
(0.16667, 0.81607, 0.94444),
(0.83333, 0.81607, 0.94444),
(0.16667, 0.18393, 0.94444),
(0.16667, 0.81607, 0.05556),
(0.83333, 0.18393, 0.05556),
(0.16667, 0.18393, 0.16667),
(0.83333, 0.81607, 0.16667),
(0.83333, 0.18393, 0.83333),
(0.16667, 0.81607, 0.83333),
(0.83333, 0.81607, 0.83333),
(0.16667, 0.18393, 0.83333),
(0.16667, 0.81607, 0.16667),
(0.83333, 0.18393, 0.16667),
(0.16667, 0.18393, 0.27778),
(0.83333, 0.81607, 0.27778),
(0.83333, 0.18393, 0.72222),
(0.16667, 0.81607, 0.72222),
(0.83333, 0.81607, 0.72222),
(0.16667, 0.18393, 0.72222),
(0.16667, 0.81607, 0.27778),
(0.83333, 0.18393, 0.27778),
(0.16667, 0.18393, 0.38889),
(0.83333, 0.81607, 0.38889),
(0.83333, 0.18393, 0.61111),
(0.16667, 0.81607, 0.61111),
(0.83333, 0.81607, 0.61111),
(0.16667, 0.18393, 0.61111),
(0.16667, 0.81607, 0.38889),
(0.83333, 0.18393, 0.38889),
(0.16667, 0.18393, 0.5),
(0.83333, 0.81607, 0.5),
(0.83333, 0.18393, 0.5),
(0.16667, 0.81607, 0.5),
(0.27778, 0.18393, 0.05556),
(0.72222, 0.81607, 0.05556),
(0.72222, 0.18393, 0.94444),
(0.27778, 0.81607, 0.94444),
(0.72222, 0.81607, 0.94444),
(0.27778, 0.18393, 0.94444),
(0.27778, 0.81607, 0.05556),
(0.72222, 0.18393, 0.05556),
(0.27778, 0.18393, 0.16667),
(0.72222, 0.81607, 0.16667),
(0.72222, 0.18393, 0.83333),
(0.27778, 0.81607, 0.83333),
(0.72222, 0.81607, 0.83333),
(0.27778, 0.18393, 0.83333),
(0.27778, 0.81607, 0.16667),
(0.72222, 0.18393, 0.16667),
(0.27778, 0.18393, 0.27778),
(0.72222, 0.81607, 0.27778),
(0.72222, 0.18393, 0.72222),
(0.27778, 0.81607, 0.72222),
(0.72222, 0.81607, 0.72222),
(0.27778, 0.18393, 0.72222),
(0.27778, 0.81607, 0.27778),
(0.72222, 0.18393, 0.27778),
(0.27778, 0.18393, 0.38889),
(0.72222, 0.81607, 0.38889),
(0.72222, 0.18393, 0.61111),
(0.27778, 0.81607, 0.61111),
(0.72222, 0.81607, 0.61111),
(0.27778, 0.18393, 0.61111),
(0.27778, 0.81607, 0.38889),
(0.72222, 0.18393, 0.38889),
(0.27778, 0.18393, 0.5),
(0.72222, 0.81607, 0.5),
(0.72222, 0.18393, 0.5),
(0.27778, 0.81607, 0.5),
(0.38889, 0.18393, 0.05556),
(0.61111, 0.81607, 0.05556),
(0.61111, 0.18393, 0.94444),
(0.38889, 0.81607, 0.94444),
(0.61111, 0.81607, 0.94444),
(0.38889, 0.18393, 0.94444),
(0.38889, 0.81607, 0.05556),
(0.61111, 0.18393, 0.05556),
(0.38889, 0.18393, 0.16667),
(0.61111, 0.81607, 0.16667),
(0.61111, 0.18393, 0.83333),
(0.38889, 0.81607, 0.83333),
(0.61111, 0.81607, 0.83333),
(0.38889, 0.18393, 0.83333),
(0.38889, 0.81607, 0.16667),
(0.61111, 0.18393, 0.16667),
(0.38889, 0.18393, 0.27778),
(0.61111, 0.81607, 0.27778),
(0.61111, 0.18393, 0.72222),
(0.38889, 0.81607, 0.72222),
(0.61111, 0.81607, 0.72222),
(0.38889, 0.18393, 0.72222),
(0.38889, 0.81607, 0.27778),
(0.61111, 0.18393, 0.27778),
(0.38889, 0.18393, 0.38889),
(0.61111, 0.81607, 0.38889),
(0.61111, 0.18393, 0.61111),
(0.38889, 0.81607, 0.61111),
(0.61111, 0.81607, 0.61111),
(0.38889, 0.18393, 0.61111),
(0.38889, 0.81607, 0.38889),
(0.61111, 0.18393, 0.38889),
(0.38889, 0.18393, 0.5),
(0.61111, 0.81607, 0.5),
(0.61111, 0.18393, 0.5),
(0.38889, 0.81607, 0.5),
(0.5, 0.18393, 0.05556),
(0.5, 0.81607, 0.05556),
(0.5, 0.18393, 0.94444),
(0.5, 0.81607, 0.94444),
(0.5, 0.18393, 0.16667),
(0.5, 0.81607, 0.16667),
(0.5, 0.18393, 0.83333),
(0.5, 0.81607, 0.83333),
(0.5, 0.18393, 0.27778),
(0.5, 0.81607, 0.27778),
(0.5, 0.18393, 0.72222),
(0.5, 0.81607, 0.72222),
(0.5, 0.18393, 0.38889),
(0.5, 0.81607, 0.38889),
(0.5, 0.18393, 0.61111),
(0.5, 0.81607, 0.61111),
(0.5, 0.18393, 0.5),
(0.5, 0.81607, 0.5),
(0, 0, 0),
(0.0, 0.0, 0.11111),
(0.0, 0.0, 0.88889),
(0.0, 0.0, 0.22222),
(0.0, 0.0, 0.77778),
(0.0, 0.0, 0.33333),
(0.0, 0.0, 0.66667),
(0.0, 0.0, 0.44444),
(0.0, 0.0, 0.55556),
(0.11111, 0.0, 0.0),
(0.88889, 0.0, 0.0),
(0.11111, 0.0, 0.11111),
(0.88889, 0.0, 0.11111),
(0.88889, 0.0, 0.88889),
(0.11111, 0.0, 0.88889),
(0.11111, 0.0, 0.22222),
(0.88889, 0.0, 0.22222),
(0.88889, 0.0, 0.77778),
(0.11111, 0.0, 0.77778),
(0.11111, 0.0, 0.33333),
(0.88889, 0.0, 0.33333),
(0.88889, 0.0, 0.66667),
(0.11111, 0.0, 0.66667),
(0.11111, 0.0, 0.44444),
(0.88889, 0.0, 0.44444),
(0.88889, 0.0, 0.55556),
(0.11111, 0.0, 0.55556),
